player_id,player_name,position,fixture_id,gameweek,kickoff_date,team,opponent,completed,npxG,xA,goals_scored,assists,bonus,clean_sheets,goals_conceded,minutes,total_points,avg_team_xG,avg_team_xGA,avg_opponent_xG,avg_opponent_xGA,proj_score,opponent_proj_score,goal_xP,assist_xP,cs_xP,bonus_xP,concede_xP,xP,avg_npxG,avg_xA,avg_bonus,avg_minutes
345,Che Adams,F,4,1,2021-08-14,Southampton,Everton,1,0.0,0.361,0,1,0,0,0,90,5,,,,,1.08,1.56,,,,,,,,,,
150,Cheikhou Kouyaté,D,3,1,2021-08-14,Crystal Palace,Chelsea,1,0.0,0.0,0,0,0,0,3,90,1,,,,,0.55,2.23,,,,,,,,,,
548,Chem Campbell,M,5,1,2021-08-14,Wolves,Leicester,1,,,0,0,0,0,0,0,0,,,,,0.95,1.65,,,,,,,,,,
149,Christian Benteke,F,3,1,2021-08-14,Crystal Palace,Chelsea,1,0.036,0.0,0,0,0,0,0,33,1,,,,,0.55,2.23,,,,,,,,,,
384,Christian Kabasele,D,8,1,2021-08-14,Watford,Aston Villa,1,0.417,0.0,0,0,0,0,2,90,1,,,,,1.19,1.45,,,,,,,,,,
549,Christian Marques,D,5,1,2021-08-14,Wolves,Leicester,1,,,0,0,0,0,0,0,0,,,,,0.95,1.65,,,,,,,,,,
137,Christian Pulisic,M,3,1,2021-08-14,Chelsea,Crystal Palace,1,0.638,0.0,1,0,0,1,0,81,8,,,,,2.23,0.55,,,,,,,,,,
324,Christoph Zimmermann,D,7,1,2021-08-14,Norwich,Liverpool,1,,,0,0,0,0,0,0,0,,,,,0.84,2.2,,,,,,,,,,
528,Christos Tzolis,M,7,1,2021-08-14,Norwich,Liverpool,1,,,0,0,0,0,0,0,0,,,,,0.84,2.2,,,,,,,,,,
429,Conor Coady,D,5,1,2021-08-14,Wolves,Leicester,1,0.0,0.0,0,0,0,0,0,90,2,,,,,0.95,1.65,,,,,,,,,,
