,0,1,2,3,4,5,6
245,,,,0.768,,0.0,
246,,,,0.0,,0.0,
247,,,,0.768,,0.0,
248,,,,0.768,,0.0,
249,,,,0.443,,0.0,
250,,,,0.768,,0.0,
251,,,,1.727,,0.0,
252,,,,0.192,,0.0,
253,,,,1.727,,0.0,
254,,,,0.432,,0.0,
255,,,,0.192,,0.0,
256,,,,1.727,,0.0,
257,,,,0.192,,0.0,
258,,,,1.727,,0.0,
259,,,,0.432,,0.0,
260,,,,0.768,,0.0,
261,,,,0.391,,0.0,
262,,,,0.0,,0.0,
263,,,,1.563,,0.0,
264,,,,0.391,,0.0,
265,,,,0.443,,0.0,
266,,,,0.111,,0.0,
267,,,,0.938,,0.0,
268,,,,0.443,,0.0,
269,,,,0.443,,0.0,
270,,,,0.0,,0.0,
271,,,,0.111,,0.0,
272,,,,0.235,,0.0,
273,,,,0.111,,0.0,
274,,,,0.0,,0.0,
275,,,,0.938,,0.0,
276,,,,0.443,,0.0,
277,,,,0.938,,0.0,
278,,,,0.938,,0.0,
279,,,,0.432,,0.0,
280,,,,0.938,,0.0,
281,,,,0.235,,0.0,
282,,,,0.0,,0.0,
283,,,,0.938,,0.0,
284,,,,0.938,,0.0,
285,,,,0.235,,0.0,
286,,,,0.938,,0.0,
287,,,,0.235,,0.0,
288,,,,0.0,,0.0,
289,,,,0.391,,0.0,
290,,,,1.563,,0.0,
291,,,,0.127,,0.0,
292,,,,1.563,,0.0,
293,,,,0.391,,0.0,
294,,,,1.563,,0.0,
295,,,,0.938,,0.0,
296,,,,0.192,,0.0,
297,,,,0.0,,0.0,
298,,,,1.727,,0.0,
299,,,,0.304,,0.0,
300,,,,0.432,,0.0,
301,,,,1.547,,0.0,
302,,,,0.432,,0.0,
303,,,,0.387,,0.0,
304,,,,0.111,,0.0,
305,,,,1.727,,0.0,
306,,,,0.938,,0.0,
307,,,,0.387,,0.0,
308,,,,0.841,,0.0,
309,,,,0.0,,0.0,
310,,,,0.432,,0.0,
311,,,,0.432,,0.0,
312,,,,0.387,,0.0,
313,,,,1.079,,0.0,
314,,,,1.547,,0.0,
315,,,,1.547,,0.0,
316,,,,0.0,,0.0,
317,,,,0.391,,0.0,
318,,,,1.547,,0.0,
319,,,,1.727,,0.0,
320,,,,1.547,,0.0,
321,,,,0.0,,0.0,
322,,,,0.443,,0.0,
323,,,,0.387,,0.0,
324,,,,0.443,,0.0,
325,,,,0.387,,0.0,
326,,,,0.387,,0.0,
327,,,,0.387,,0.0,
328,,,,1.547,,0.0,
329,,,,0.443,,0.0,
330,,,,0.192,,0.0,
331,,,,1.547,,0.0,
332,,,,0.111,,0.0,
333,,,,1.547,,0.0,
334,,,,0.432,,0.0,
335,,,,0.235,,0.0,
336,,,,0.51,,0.0,
337,,,,1.727,,0.0,
338,,,,0.432,,0.0,
339,,,,0.768,,0.0,
340,,,,0.432,,0.0,
341,,,,0.192,,0.0,
342,,,,1.727,,0.0,
343,,,,0.0,,0.0,
344,,,,0.192,,0.0,
345,,,,0.432,,0.0,
346,,,,0.768,,0.0,
347,,,,1.547,,0.0,
348,,,,1.727,,0.0,
349,,,,0.0,,0.0,
350,,,,0.0,,0.0,
351,,,,0.108,,0.0,
352,,,,0.0,,0.0,
353,,,,0.387,,0.0,
354,,,,0.387,,0.0,
355,,,,0.134,,0.0,
356,,,,0.0,,0.0,
357,,,,0.223,,0.0,
358,,,,0.223,,0.0,
359,,,,0.536,,0.0,
360,,,,0.893,,0.0,
361,,,,0.893,,0.0,
362,,,,0.223,,0.0,
363,,,,0.0,,0.0,
364,,,,0.0,,0.0,
365,,,,0.223,,0.0,
366,,,,0.893,,0.0,
367,,,,0.223,,0.0,
368,,,,0.0,,0.0,
369,,,,0.298,,0.0,
370,,,,0.893,,0.0,
371,,,,0.893,,0.0,
372,,,,0.893,,0.0,
373,,,,0.134,,0.0,
374,,,,0.893,,0.0,
375,,,,0.223,,0.0,
376,,,,0.223,,0.0,
377,,,,0.134,,0.0,
378,,,,0.134,,0.0,
379,,,,0.536,,0.0,
380,,,,0.0,,0.0,
381,,,,0.536,,0.0,
382,,,,0.536,,0.0,
383,,,,0.893,,0.0,
384,,,,0.893,,0.0,
