player_name,position,fixture_id,gameweek,kickoff_date,team,opponent,completed,minutes,npxG,xA,bonus,price,avg_team_xG,avg_team_xGA,avg_opponent_xG,avg_opponent_xGA,proj_score,opponent_proj_score,goal_xP,assist_xP,bonus_xP,cs_xP,concede_xP,minutes_xP,xP,goal_points,assist_points,bonus_points,cs_points,concede_points,minutes_points,total_points,avg_npxG,avg_xA,avg_bonus,avg_minutes
John McGinn,M,8,1,2021-08-14,Aston Villa,Watford,1,90,0.085,0.0,0,6.0,,,,,1.45,1.19,,,,0.304,,0.0,,5,0,0,0,0,2,7,,,,
Ashley Barnes,F,2,1,2021-08-14,Burnley,Brighton,1,20,0.0,0.044,0,5.5,,,,,1.19,1.31,,,,0.0,,0.0,,0,0,0,0,0,1,1,,,,
Teemu Pukki,F,7,1,2021-08-14,Norwich,Liverpool,1,76,0.309,0.0,0,6.0,,,,,0.84,2.2,,,,0.0,,0.0,,0,0,0,0,0,2,2,,,,
Lukas Rupp,M,7,1,2021-08-14,Norwich,Liverpool,1,90,0.092,0.0,0,4.5,,,,,0.84,2.2,,,,0.111,,0.0,,0,0,0,0,0,2,2,,,,
Jay Rodriguez,F,2,1,2021-08-14,Burnley,Brighton,1,69,0.094,0.0,0,5.5,,,,,1.19,1.31,,,,0.0,,0.0,,0,0,0,0,0,2,2,,,,
Kenny McLean,M,7,1,2021-08-14,Norwich,Liverpool,1,0,,,0,5.0,,,,,0.84,2.2,,,,0.111,,0.0,,0,0,0,0,0,0,0,,,,
Grant Hanley,D,7,1,2021-08-14,Norwich,Liverpool,1,90,0.133,0.114,0,4.5,,,,,0.84,2.2,,,,0.443,,0.0,,0,0,0,0,-3,2,1,,,,
Morgan Sanson,M,8,1,2021-08-14,Aston Villa,Watford,1,0,,,0,5.0,,,,,1.45,1.19,,,,0.304,,0.0,,0,0,0,0,0,0,0,,,,
Sam Byram,D,7,1,2021-08-14,Norwich,Liverpool,1,0,,,0,4.5,,,,,0.84,2.2,,,,0.443,,0.0,,0,0,0,0,0,0,0,,,,
Kieran Dowell,M,7,1,2021-08-14,Norwich,Liverpool,1,4,0.0,0.038,0,5.5,,,,,0.84,2.2,,,,0.111,,0.0,,0,0,0,0,0,1,1,,,,
Christoph Zimmermann,D,7,1,2021-08-14,Norwich,Liverpool,1,0,,,0,4.5,,,,,0.84,2.2,,,,0.443,,0.0,,0,0,0,0,0,0,0,,,,
Todd Cantwell,M,7,1,2021-08-14,Norwich,Liverpool,1,85,0.007,0.309,0,5.5,,,,,0.84,2.2,,,,0.111,,0.0,,0,0,0,0,0,2,1,,,,
Max Aarons,D,7,1,2021-08-14,Norwich,Liverpool,1,90,0.01,0.046,0,4.5,,,,,0.84,2.2,,,,0.443,,0.0,,0,0,0,0,-3,2,1,,,,
Jacob Sørensen,D,7,1,2021-08-14,Norwich,Liverpool,1,0,,,0,4.5,,,,,0.84,2.2,,,,0.443,,0.0,,0,0,0,0,0,0,0,,,,
Tim Krul,G,7,1,2021-08-14,Norwich,Liverpool,1,90,0.0,0.0,0,4.5,,,,,0.84,2.2,,,,0.443,,0.0,,0,0,0,0,-3,2,2,,,,
Przemyslaw Placheta,M,7,1,2021-08-14,Norwich,Liverpool,1,0,,,0,5.0,,,,,0.84,2.2,,,,0.111,,0.0,,0,0,0,0,0,0,0,,,,
César Azpilicueta,D,3,1,2021-08-14,Chelsea,Crystal Palace,1,66,0.029,0.0,0,6.0,,,,,2.23,0.55,,,,2.308,,0.0,,0,0,0,4,0,2,6,,,,
Scott McTominay,M,6,1,2021-08-14,Man Utd,Leeds,1,68,0.055,0.017,0,5.5,,,,,2.06,0.94,,,,0.391,,0.0,,0,0,0,0,0,2,2,,,,
Neco Williams,D,7,1,2021-08-14,Liverpool,Norwich,1,0,,,0,4.0,,,,,2.2,0.84,,,,1.727,,0.0,,0,0,0,0,0,0,0,,,,
Wesley Moraes,F,8,1,2021-08-14,Aston Villa,Watford,1,0,,,0,5.5,,,,,1.45,1.19,,,,0.0,,0.0,,0,0,0,0,0,0,0,,,,
Luke Cundle,M,5,1,2021-08-14,Wolves,Leicester,1,0,,,0,4.5,,,,,0.95,1.65,,,,0.192,,0.0,,0,0,0,0,0,0,0,,,,
Ezri Konsa Ngoyo,D,8,1,2021-08-14,Aston Villa,Watford,1,90,0.0,0.0,0,5.0,,,,,1.45,1.19,,,,1.217,,0.0,,0,0,0,0,-3,2,1,,,,
Yan Valery,D,4,1,2021-08-14,Southampton,Everton,1,0,,,0,4.0,,,,,1.08,1.56,,,,0.841,,0.0,,0,0,0,0,0,0,0,,,,
Jarrad Branthwaite,D,4,1,2021-08-14,Everton,Southampton,1,0,,,0,4.0,,,,,1.56,1.08,,,,1.358,,0.0,,0,0,0,0,0,0,0,,,,
Matthew Cash,D,8,1,2021-08-14,Aston Villa,Watford,1,90,0.011,0.077,0,5.0,,,,,1.45,1.19,,,,1.217,,0.0,,0,0,0,0,-3,2,1,,,,
Jack Harrison,M,6,1,2021-08-14,Leeds,Man Utd,1,68,0.018,0.059,0,6.0,,,,,0.94,2.06,,,,0.127,,0.0,,0,0,0,0,0,2,2,,,,
Jesurun Rak-Sakyi,M,3,1,2021-08-14,Crystal Palace,Chelsea,1,13,0.0,0.0,0,4.5,,,,,0.55,2.23,,,,0.108,,0.0,,0,0,0,0,0,1,1,,,,
Edinson Cavani,F,6,1,2021-08-14,Man Utd,Leeds,1,0,,,0,8.5,,,,,2.06,0.94,,,,0.0,,0.0,,0,0,0,0,0,0,0,,,,
Emiliano Buendía Stati,M,8,1,2021-08-14,Aston Villa,Watford,1,71,0.029,0.0,0,6.5,,,,,1.45,1.19,,,,0.304,,0.0,,0,0,0,0,0,2,2,,,,
David de Gea,G,6,1,2021-08-14,Man Utd,Leeds,1,90,0.0,0.0,0,5.0,,,,,2.06,0.94,,,,1.563,,0.0,,0,0,0,0,-1,2,2,,,,
Nemanja Matic,M,6,1,2021-08-14,Man Utd,Leeds,1,21,0.0,0.0,0,4.5,,,,,2.06,0.94,,,,0.391,,0.0,,0,0,0,0,0,1,1,,,,
Eric Bailly,D,6,1,2021-08-14,Man Utd,Leeds,1,0,,,0,5.0,,,,,2.06,0.94,,,,1.563,,0.0,,0,0,0,0,0,0,0,,,,
Emerson Palmieri dos Santos,D,3,1,2021-08-14,Chelsea,Crystal Palace,1,4,0.0,0.0,0,4.5,,,,,2.23,0.55,,,,2.308,,0.0,,0,0,0,0,0,1,1,,,,
Harry Maguire,D,6,1,2021-08-14,Man Utd,Leeds,1,90,0.025,0.0,0,5.5,,,,,2.06,0.94,,,,1.563,,0.0,,0,0,0,0,-1,2,2,,,,
Johann Berg Gudmundsson,M,2,1,2021-08-14,Burnley,Brighton,1,90,0.16,0.0,0,5.5,,,,,1.19,1.31,,,,0.27,,0.0,,0,0,0,0,0,2,1,,,,
Frederico Rodrigues de Paula Santos,M,6,1,2021-08-14,Man Utd,Leeds,1,90,0.142,0.0,0,5.0,,,,,2.06,0.94,,,,0.391,,0.0,,5,0,0,0,0,2,7,,,,
Luke Shaw,D,6,1,2021-08-14,Man Utd,Leeds,1,90,0.044,0.129,0,5.5,,,,,2.06,0.94,,,,1.563,,0.0,,0,0,0,0,-1,2,1,,,,
Jesse Lingard,M,6,1,2021-08-14,Man Utd,Leeds,1,0,,,0,7.0,,,,,2.06,0.94,,,,0.391,,0.0,,0,0,0,0,0,0,0,,,,
Bruno Miguel Borges Fernandes,M,6,1,2021-08-14,Man Utd,Leeds,1,90,0.784,0.118,3,12.0,,,,,2.06,0.94,,,,0.391,,0.0,,15,0,3,0,0,2,20,,,,
Marvelous Nakamba,M,8,1,2021-08-14,Aston Villa,Watford,1,90,0.0,0.0,0,4.5,,,,,1.45,1.19,,,,0.304,,0.0,,0,0,0,0,0,2,2,,,,
Moisés Caicedo,M,2,1,2021-08-14,Brighton,Burnley,1,0,,,0,4.5,,,,,1.31,1.19,,,,0.304,,0.0,,0,0,0,0,0,0,0,,,,
Anthony Martial,F,6,1,2021-08-14,Man Utd,Leeds,1,15,0.0,0.0,0,8.0,,,,,2.06,0.94,,,,0.0,,0.0,,0,0,0,0,0,1,1,,,,
Alex Nicolao Telles,D,6,1,2021-08-14,Man Utd,Leeds,1,0,,,0,5.0,,,,,2.06,0.94,,,,1.563,,0.0,,0,0,0,0,0,0,0,,,,
Marcus Rashford,M,6,1,2021-08-14,Man Utd,Leeds,1,0,,,0,9.5,,,,,2.06,0.94,,,,0.391,,0.0,,0,0,0,0,0,0,0,,,,
Taylor Richards,M,2,1,2021-08-14,Brighton,Burnley,1,0,,,0,4.5,,,,,1.31,1.19,,,,0.304,,0.0,,0,0,0,0,0,0,0,,,,
Victor Lindelöf,D,6,1,2021-08-14,Man Utd,Leeds,1,90,0.0,0.362,0,5.0,,,,,2.06,0.94,,,,1.563,,0.0,,0,3,0,0,-1,2,5,,,,
Paul Pogba,M,6,1,2021-08-14,Man Utd,Leeds,1,74,0.249,0.718,2,7.5,,,,,2.06,0.94,,,,0.391,,0.0,,0,12,2,0,0,2,16,,,,
Adam Idah,F,7,1,2021-08-14,Norwich,Liverpool,1,13,0.114,0.0,0,5.0,,,,,0.84,2.2,,,,0.0,,0.0,,0,0,0,0,0,1,1,,,,
Shane Long,F,4,1,2021-08-14,Southampton,Everton,1,0,,,0,5.5,,,,,1.08,1.56,,,,0.0,,0.0,,0,0,0,0,0,0,0,,,,
Andrew Omobamidele,D,7,1,2021-08-14,Norwich,Liverpool,1,0,,,0,4.0,,,,,0.84,2.2,,,,0.443,,0.0,,0,0,0,0,0,0,0,,,,
Ben Foster,G,8,1,2021-08-14,Watford,Aston Villa,1,0,,,0,4.0,,,,,1.19,1.45,,,,0.938,,0.0,,0,0,0,0,0,0,0,,,,
Danny Rose,D,8,1,2021-08-14,Watford,Aston Villa,1,0,,,0,4.5,,,,,1.19,1.45,,,,0.938,,0.0,,0,0,0,0,0,0,0,,,,
Dan Gosling,M,8,1,2021-08-14,Watford,Aston Villa,1,21,0.0,0.0,0,5.0,,,,,1.19,1.45,,,,0.235,,0.0,,0,0,0,0,0,1,1,,,,
Craig Cathcart,D,8,1,2021-08-14,Watford,Aston Villa,1,90,0.0,0.0,0,4.5,,,,,1.19,1.45,,,,0.938,,0.0,,0,0,0,0,-2,2,1,,,,
Kiernan Dewsbury-Hall,M,5,1,2021-08-14,Leicester,Wolves,1,0,,,0,4.5,,,,,1.65,0.95,,,,0.387,,0.0,,0,0,0,0,0,0,0,,,,
Troy Deeney,F,8,1,2021-08-14,Watford,Aston Villa,1,11,0.0,0.0,0,5.5,,,,,1.19,1.45,,,,0.0,,0.0,,0,0,0,0,0,1,1,,,,
Yves Bissouma,M,2,1,2021-08-14,Brighton,Burnley,1,90,0.0,0.0,0,4.5,,,,,1.31,1.19,,,,0.304,,0.0,,0,0,0,0,0,2,2,,,,
Tom Cleverley,M,8,1,2021-08-14,Watford,Aston Villa,1,78,0.0,0.045,0,5.0,,,,,1.19,1.45,,,,0.235,,0.0,,0,3,0,0,0,2,5,,,,
Francisco Femenía Far,D,8,1,2021-08-14,Watford,Aston Villa,1,0,,,0,4.5,,,,,1.19,1.45,,,,0.938,,0.0,,0,0,0,0,0,0,0,,,,
Christian Kabasele,D,8,1,2021-08-14,Watford,Aston Villa,1,90,0.417,0.0,0,4.5,,,,,1.19,1.45,,,,0.938,,0.0,,0,0,0,0,-2,2,1,,,,
Erik Pieters,D,2,1,2021-08-14,Burnley,Brighton,1,0,,,0,4.5,,,,,1.19,1.31,,,,1.079,,0.0,,0,0,0,0,0,0,0,,,,
Jean-Philippe Gbamin,M,4,1,2021-08-14,Everton,Southampton,1,0,,,0,4.5,,,,,1.56,1.08,,,,0.34,,0.0,,0,0,0,0,0,0,0,,,,
William Troost-Ekong,D,8,1,2021-08-14,Watford,Aston Villa,1,90,0.0,0.0,0,4.5,,,,,1.19,1.45,,,,0.938,,0.0,,0,0,0,0,-2,2,1,,,,
Harvey Elliott,M,7,1,2021-08-14,Liverpool,Norwich,1,7,0.0,0.0,0,5.5,,,,,2.2,0.84,,,,0.432,,0.0,,0,0,0,0,0,1,1,,,,
Daniel Bachmann,G,8,1,2021-08-14,Watford,Aston Villa,1,90,0.0,0.0,0,4.5,,,,,1.19,1.45,,,,0.938,,0.0,,0,0,0,0,-2,2,1,,,,
Anthony Gordon,M,4,1,2021-08-14,Everton,Southampton,1,1,0.0,0.0,0,4.5,,,,,1.56,1.08,,,,0.34,,0.0,,0,0,0,0,0,1,1,,,,
Ken Sema,M,8,1,2021-08-14,Watford,Aston Villa,1,90,0.0,0.557,0,5.5,,,,,1.19,1.45,,,,0.235,,0.0,,0,0,0,0,0,2,1,,,,
Ashley Fletcher,F,8,1,2021-08-14,Watford,Aston Villa,1,0,,,0,5.0,,,,,1.19,1.45,,,,0.0,,0.0,,0,0,0,0,0,0,0,,,,
Francisco Sierralta,D,8,1,2021-08-14,Watford,Aston Villa,1,0,,,0,4.5,,,,,1.19,1.45,,,,0.938,,0.0,,0,0,0,0,0,0,0,,,,
Ismaila Sarr,M,8,1,2021-08-14,Watford,Aston Villa,1,90,0.172,0.366,2,6.0,,,,,1.19,1.45,,,,0.235,,0.0,,5,0,2,0,0,2,9,,,,
Jonjoe Kenny,D,4,1,2021-08-14,Everton,Southampton,1,0,,,0,4.5,,,,,1.56,1.08,,,,1.358,,0.0,,0,0,0,0,0,0,0,,,,
Jeremy Ngakia,D,8,1,2021-08-14,Watford,Aston Villa,1,0,,,0,4.5,,,,,1.19,1.45,,,,0.938,,0.0,,0,0,0,0,0,0,0,,,,
James Tarkowski,D,2,1,2021-08-14,Burnley,Brighton,1,90,1.101,0.0,0,5.0,,,,,1.19,1.31,,,,1.079,,0.0,,6,0,0,0,-2,2,6,,,,
Imrân Louza,M,8,1,2021-08-14,Watford,Aston Villa,1,0,,,0,5.5,,,,,1.19,1.45,,,,0.235,,0.0,,0,0,0,0,0,0,0,,,,
João Pedro Junqueira de Jesus,F,8,1,2021-08-14,Watford,Aston Villa,1,0,,,0,5.5,,,,,1.19,1.45,,,,0.0,,0.0,,0,0,0,0,0,0,0,,,,
Malang Sarr,D,3,1,2021-08-14,Chelsea,Crystal Palace,1,0,,,0,5.0,,,,,2.23,0.55,,,,2.308,,0.0,,0,0,0,0,0,0,0,,,,
Jakub Moder,M,2,1,2021-08-14,Brighton,Burnley,1,18,0.288,0.645,0,4.5,,,,,1.31,1.19,,,,0.304,,0.0,,0,3,0,0,0,1,4,,,,
Steven Alzate,M,2,1,2021-08-14,Brighton,Burnley,1,71,0.0,0.147,0,5.0,,,,,1.31,1.19,,,,0.304,,0.0,,0,0,0,0,0,2,2,,,,
Adam Masina,D,8,1,2021-08-14,Watford,Aston Villa,1,90,0.0,0.0,0,4.5,,,,,1.19,1.45,,,,0.938,,0.0,,0,0,0,0,-2,2,1,,,,
Konstantinos Tsimikas,D,7,1,2021-08-14,Liverpool,Norwich,1,90,0.159,0.0,0,4.0,,,,,2.2,0.84,,,,1.727,,0.0,,0,0,0,4,0,2,6,,,,
Jack Cork,M,2,1,2021-08-14,Burnley,Brighton,1,84,0.09,0.0,0,4.5,,,,,1.19,1.31,,,,0.27,,0.0,,0,0,0,0,0,2,2,,,,
Anthony Elanga,M,6,1,2021-08-14,Man Utd,Leeds,1,0,,,0,5.0,,,,,2.06,0.94,,,,0.391,,0.0,,0,0,0,0,0,0,0,,,,
Theo Walcott,M,4,1,2021-08-14,Southampton,Everton,1,79,0.0,0.0,0,6.0,,,,,1.08,1.56,,,,0.21,,0.0,,0,0,0,0,0,2,2,,,,
Fraser Forster,G,4,1,2021-08-14,Southampton,Everton,1,0,,,0,4.5,,,,,1.08,1.56,,,,0.841,,0.0,,0,0,0,0,0,0,0,,,,
