gw,date,name,position,minutes,bonus,points,npxG,xA,team,opponent
1.0,2021-08-14,Jordan Henderson,M,0,0.0,0.0,,,Liverpool,Norwich
1.0,2021-08-14,Divock Origi,F,0,0.0,0.0,,,Liverpool,Norwich
1.0,2021-08-14,Virgil van Dijk,D,90,1.0,7.0,0.047,0.057,Liverpool,Norwich
1.0,2021-08-14,Fabio Henrique Tavares,M,29,0.0,1.0,0.0,0.0,Liverpool,Norwich
1.0,2021-08-14,Roberto Firmino,F,29,2.0,7.0,0.424,0.082,Liverpool,Norwich
1.0,2021-08-14,Teemu Pukki,F,76,0.0,2.0,0.309,0.0,Norwich,Liverpool
1.0,2021-08-14,Sadio Mané,M,90,0.0,3.0,0.147,0.161,Liverpool,Norwich
1.0,2021-08-14,Diogo Jota,M,60,0.0,8.0,0.607,0.0,Liverpool,Norwich
1.0,2021-08-14,Mohamed Salah,M,90,3.0,17.0,0.239,0.869,Liverpool,Norwich
1.0,2021-08-14,José Malheiro de Sá,G,90,0.0,3.0,0.0,0.0,Wolves,Leicester
1.0,2021-08-14,Kiernan Dewsbury-Hall,M,0,0.0,0.0,,,Leicester,Wolves
1.0,2021-08-14,Fabio Silva,F,1,0.0,1.0,0.0,0.0,Wolves,Leicester
1.0,2021-08-14,Luke Thomas,D,90,1.0,7.0,0.0,0.0,Leicester,Wolves
1.0,2021-08-14,Ki-Jana Hoever,D,90,0.0,1.0,0.034,0.086,Wolves,Leicester
1.0,2021-08-14,Luke Cundle,M,0,0.0,0.0,,,Wolves,Leicester
1.0,2021-08-14,James Justin,D,0,0.0,0.0,,,Leicester,Wolves
1.0,2021-08-14,Morgan Gibbs-White,M,4,0.0,1.0,0.081,0.0,Wolves,Leicester
1.0,2021-08-14,Willy Boly,D,0,0.0,0.0,,,Wolves,Leicester
1.0,2021-08-14,Rayan Ait Nouri,D,0,0.0,0.0,,,Wolves,Leicester
1.0,2021-08-14,Hamza Choudhury,M,0,0.0,0.0,,,Leicester,Wolves
1.0,2021-08-14,Pedro Lomba Neto,M,0,0.0,0.0,,,Wolves,Leicester
1.0,2021-08-14,Boubakary Soumaré,M,28,0.0,1.0,0.0,0.0,Leicester,Wolves
1.0,2021-08-14,Nélson Cabral Semedo,D,0,0.0,0.0,,,Wolves,Leicester
1.0,2021-08-14,Timothy Castagne,D,0,0.0,0.0,,,Leicester,Wolves
1.0,2021-08-14,Fernando Marçal,D,90,0.0,1.0,0.0,0.023,Wolves,Leicester
1.0,2021-08-14,Wilfred Ndidi,M,90,0.0,3.0,0.0,0.0,Leicester,Wolves
1.0,2021-08-14,Nampalys Mendy,M,0,0.0,0.0,,,Leicester,Wolves
1.0,2021-08-14,Ryan Bertrand,D,0,0.0,0.0,,,Leicester,Wolves
1.0,2021-08-14,Ayoze Pérez,M,61,0.0,3.0,0.0,0.092,Leicester,Wolves
1.0,2021-08-14,Daniel Amartey,D,90,0.0,6.0,0.0,0.0,Leicester,Wolves
1.0,2021-08-14,Kasper Schmeichel,G,90,2.0,9.0,0.0,0.0,Leicester,Wolves
1.0,2021-08-14,Jannik Vestergaard,D,28,0.0,1.0,0.0,0.0,Leicester,Wolves
1.0,2021-08-14,Francisco Machado Mota de Castro Trincão,M,85,0.0,2.0,0.079,0.05,Wolves,Leicester
1.0,2021-08-14,Max Kilman,D,90,0.0,2.0,0.196,0.0,Wolves,Leicester
1.0,2021-08-14,Leander Dendoncker,M,24,0.0,1.0,0.0,0.0,Wolves,Leicester
1.0,2021-08-14,Çaglar Söyüncü,D,90,0.0,6.0,0.0,0.0,Leicester,Wolves
1.0,2021-08-14,Ricardo Domingos Barbosa Pereira,D,90,3.0,12.0,0.0,0.114,Leicester,Wolves
1.0,2021-08-14,Jonathan Castro Otto,D,0,0.0,0.0,,,Wolves,Leicester
1.0,2021-08-14,Adama Traoré,M,90,0.0,2.0,0.748,0.081,Wolves,Leicester
1.0,2021-08-14,Jonny Evans,D,0,0.0,0.0,,,Leicester,Wolves
1.0,2021-08-14,Marc Albrighton,M,0,0.0,0.0,,,Leicester,Wolves
1.0,2021-08-14,Daniel Castelo Podence,M,0,0.0,0.0,,,Wolves,Leicester
1.0,2021-08-14,Romain Saïss,D,90,0.0,2.0,0.0,0.03,Wolves,Leicester
1.0,2021-08-14,João Filipe Iria Santos Moutinho,M,65,0.0,2.0,0.018,0.531,Wolves,Leicester
1.0,2021-08-14,Kelechi Iheanacho,F,18,0.0,1.0,0.084,0.0,Leicester,Wolves
1.0,2021-08-14,Conor Coady,D,90,0.0,2.0,0.0,0.0,Wolves,Leicester
1.0,2021-08-14,Harvey Barnes,M,71,0.0,3.0,0.11,0.0,Leicester,Wolves
1.0,2021-08-14,Patson Daka,F,0,0.0,0.0,,,Leicester,Wolves
1.0,2021-08-14,Rúben Diogo da Silva Neves,M,90,0.0,2.0,0.013,0.103,Wolves,Leicester
1.0,2021-08-14,Youri Tielemans,M,90,0.0,3.0,0.017,0.133,Leicester,Wolves
1.0,2021-08-14,Raúl Jiménez,F,90,0.0,2.0,0.158,0.185,Wolves,Leicester
1.0,2021-08-14,James Maddison,M,61,0.0,3.0,0.0,0.081,Leicester,Wolves
1.0,2021-08-14,Jamie Vardy,F,90,0.0,5.0,0.456,0.194,Leicester,Wolves
1.0,2021-08-14,Taylor Richards,M,0,0.0,0.0,,,Brighton,Burnley
1.0,2021-08-14,Nathan Collins,D,0,0.0,0.0,,,Burnley,Brighton
1.0,2021-08-14,Jakub Moder,M,18,0.0,4.0,0.288,0.645,Brighton,Burnley
1.0,2021-08-14,Robert Sánchez,G,90,0.0,2.0,0.0,0.288,Brighton,Burnley
1.0,2021-08-14,Joël Veltman,D,0,0.0,0.0,,,Brighton,Burnley
1.0,2021-08-14,Tariq Lamptey,D,0,0.0,0.0,,,Brighton,Burnley
1.0,2021-08-14,Steven Alzate,M,71,0.0,2.0,0.0,0.147,Brighton,Burnley
1.0,2021-08-14,Aaron Connolly,F,0,0.0,0.0,,,Brighton,Burnley
1.0,2021-08-14,Jason Steele,G,0,0.0,0.0,,,Brighton,Burnley
1.0,2021-08-14,Dwight McNeil,M,78,0.0,2.0,0.0,0.08,Burnley,Brighton
1.0,2021-08-14,Dale Stephens,M,0,0.0,0.0,,,Burnley,Brighton
1.0,2021-08-14,Solomon March,M,90,0.0,2.0,0.052,0.075,Brighton,Burnley
1.0,2021-08-14,Charlie Taylor,D,90,0.0,1.0,0.0,0.008,Burnley,Brighton
1.0,2021-08-14,Yves Bissouma,M,90,0.0,2.0,0.0,0.0,Brighton,Burnley
1.0,2021-08-14,Nick Pope,G,90,0.0,2.0,0.0,0.0,Burnley,Brighton
1.0,2021-08-14,Ashley Barnes,F,20,0.0,1.0,0.0,0.044,Burnley,Brighton
1.0,2021-08-14,Johann Berg Gudmundsson,M,90,0.0,1.0,0.16,0.0,Burnley,Brighton
1.0,2021-08-14,Erik Pieters,D,0,0.0,0.0,,,Burnley,Brighton
1.0,2021-08-14,Jack Cork,M,84,0.0,2.0,0.09,0.0,Burnley,Brighton
1.0,2021-08-14,Ashley Westwood,M,90,2.0,7.0,0.0,0.701,Burnley,Brighton
1.0,2021-08-14,Wayne Hennessey,G,0,0.0,0.0,,,Burnley,Brighton
1.0,2021-08-14,Adam Lallana,M,45,0.0,1.0,0.0,0.0,Brighton,Burnley
1.0,2021-08-14,Pascal Groß,M,90,1.0,6.0,0.054,0.353,Brighton,Burnley
1.0,2021-08-14,Enock Mwepu,M,45,0.0,1.0,0.0,0.052,Brighton,Burnley
1.0,2021-08-14,Josh Brownhill,M,11,0.0,1.0,0.0,0.021,Burnley,Brighton
1.0,2021-08-14,Dan Burn,D,0,0.0,0.0,,,Brighton,Burnley
1.0,2021-08-14,Lewis Dunk,D,90,0.0,2.0,0.0,0.0,Brighton,Burnley
1.0,2021-08-14,Shane Duffy,D,90,0.0,2.0,0.064,0.0,Brighton,Burnley
1.0,2021-08-14,James Tarkowski,D,90,0.0,6.0,1.101,0.0,Burnley,Brighton
1.0,2021-08-14,Matthew Lowton,D,90,0.0,1.0,0.0,0.024,Burnley,Brighton
1.0,2021-08-14,Matej Vydra,F,5,0.0,1.0,0.024,0.0,Burnley,Brighton
1.0,2021-08-14,Jay Rodriguez,F,69,0.0,2.0,0.094,0.0,Burnley,Brighton
1.0,2021-08-14,Adam Webster,D,90,0.0,2.0,0.0,0.0,Brighton,Burnley
1.0,2021-08-14,Ben Mee,D,90,0.0,1.0,0.381,0.0,Burnley,Brighton
1.0,2021-08-14,Danny Welbeck,F,0,0.0,0.0,,,Brighton,Burnley
1.0,2021-08-14,Alexis Mac Allister,M,14,3.0,9.0,0.339,0.0,Brighton,Burnley
1.0,2021-08-14,Leandro Trossard,M,75,0.0,2.0,0.076,0.0,Brighton,Burnley
1.0,2021-08-14,Chris Wood,F,90,0.0,2.0,0.109,0.094,Burnley,Brighton
1.0,2021-08-14,Neal Maupay,F,90,0.0,5.0,0.815,0.0,Brighton,Burnley
1.0,2021-08-14,Kristoffer Klaesson,G,0,0.0,0.0,,,Leeds,Man Utd
1.0,2021-08-14,Sam Greenwood,F,0,0.0,0.0,,,Leeds,Man Utd
1.0,2021-08-14,Crysencio Summerville,M,0,0.0,0.0,,,Leeds,Man Utd
1.0,2021-08-14,Liam Cooper,D,90,0.0,-1.0,0.0,0.018,Leeds,Man Utd
1.0,2021-08-14,Jamie Shackleton,M,0,0.0,0.0,,,Leeds,Man Utd
1.0,2021-08-14,Kalvin Phillips,M,0,0.0,0.0,,,Leeds,Man Utd
1.0,2021-08-14,Pascal Struijk,D,90,0.0,0.0,0.0,0.0,Leeds,Man Utd
1.0,2021-08-14,Illan Meslier,G,90,0.0,1.0,0.0,0.0,Leeds,Man Utd
1.0,2021-08-14,Brandon Williams,D,0,0.0,0.0,,,Man Utd,Leeds
1.0,2021-08-14,José Diogo Dalot Teixeira,D,0,0.0,0.0,,,Man Utd,Leeds
1.0,2021-08-14,Héctor Junior Firpo Adames,D,45,0.0,-1.0,0.0,0.0,Leeds,Man Utd
1.0,2021-08-14,Robin Koch,D,90,0.0,0.0,0.0,0.0,Leeds,Man Utd
1.0,2021-08-14,Victor Lindelöf,D,90,0.0,5.0,0.0,0.362,Man Utd,Leeds
1.0,2021-08-14,Aaron Wan-Bissaka,D,90,0.0,2.0,0.0,0.0,Man Utd,Leeds
1.0,2021-08-14,Hélder Wander Sousa de Azevedo e Costa,M,21,0.0,1.0,0.018,0.0,Leeds,Man Utd
1.0,2021-08-14,Alex Nicolao Telles,D,0,0.0,0.0,,,Man Utd,Leeds
1.0,2021-08-14,Eric Bailly,D,0,0.0,0.0,,,Man Utd,Leeds
1.0,2021-08-14,Adam Forshaw,M,0,0.0,0.0,,,Leeds,Man Utd
1.0,2021-08-14,Luke Shaw,D,90,0.0,1.0,0.044,0.129,Man Utd,Leeds
1.0,2021-08-14,Nemanja Matic,M,21,0.0,1.0,0.0,0.0,Man Utd,Leeds
1.0,2021-08-14,David de Gea,G,90,0.0,2.0,0.0,0.0,Man Utd,Leeds
1.0,2021-08-14,Donny van de Beek,M,0,0.0,0.0,,,Man Utd,Leeds
1.0,2021-08-14,Stuart Dallas,M,90,0.0,5.0,0.0,0.021,Leeds,Man Utd
1.0,2021-08-14,Scott McTominay,M,68,0.0,2.0,0.055,0.017,Man Utd,Leeds
1.0,2021-08-14,Mateusz Klich,M,90,0.0,2.0,0.059,0.0,Leeds,Man Utd
1.0,2021-08-14,Paul Pogba,M,74,2.0,16.0,0.249,0.718,Man Utd,Leeds
1.0,2021-08-14,Harry Maguire,D,90,0.0,2.0,0.025,0.0,Man Utd,Leeds
1.0,2021-08-14,Tyler Roberts,M,13,0.0,1.0,0.012,0.281,Leeds,Man Utd
1.0,2021-08-14,Anthony Martial,F,15,0.0,1.0,0.0,0.0,Man Utd,Leeds
1.0,2021-08-14,Anthony Elanga,M,0,0.0,0.0,,,Man Utd,Leeds
1.0,2021-08-14,Luke Ayling,D,90,0.0,6.0,0.053,0.0,Leeds,Man Utd
1.0,2021-08-14,Edinson Cavani,F,0,0.0,0.0,,,Man Utd,Leeds
1.0,2021-08-14,Diego Llorente,D,0,0.0,0.0,,,Leeds,Man Utd
1.0,2021-08-14,Patrick Bamford,F,76,0.0,2.0,0.105,0.023,Leeds,Man Utd
1.0,2021-08-14,Jesse Lingard,M,0,0.0,0.0,,,Man Utd,Leeds
1.0,2021-08-14,Frederico Rodrigues de Paula Santos,M,90,0.0,7.0,0.142,0.0,Man Utd,Leeds
1.0,2021-08-14,Jadon Sancho,M,15,0.0,1.0,0.0,0.0,Man Utd,Leeds
1.0,2021-08-14,Daniel James,M,74,0.0,2.0,0.225,0.021,Man Utd,Leeds
1.0,2021-08-14,Marcus Rashford,M,0,0.0,0.0,,,Man Utd,Leeds
1.0,2021-08-14,Jack Harrison,M,68,0.0,2.0,0.018,0.059,Leeds,Man Utd
1.0,2021-08-14,Mason Greenwood,M,90,1.0,8.0,0.12,0.23,Man Utd,Leeds
1.0,2021-08-14,Raphael Dias Belloli,M,90,0.0,1.0,0.304,0.105,Leeds,Man Utd
1.0,2021-08-14,Bruno Miguel Borges Fernandes,M,90,3.0,20.0,0.784,0.118,Man Utd,Leeds
1.0,2021-08-14,Jesurun Rak-Sakyi,M,13,0.0,1.0,0.0,0.0,Crystal Palace,Chelsea
1.0,2021-08-14,Eberechi Eze,M,0,0.0,0.0,,,Crystal Palace,Chelsea
1.0,2021-08-14,Tyrick Mitchell,D,90,0.0,1.0,0.0,0.0,Crystal Palace,Chelsea
1.0,2021-08-14,Emerson Palmieri dos Santos,D,4,0.0,1.0,0.0,0.0,Chelsea,Crystal Palace
1.0,2021-08-14,Edouard Mendy,G,90,0.0,6.0,0.0,0.0,Chelsea,Crystal Palace
1.0,2021-08-14,Nathan Ferguson,D,0,0.0,0.0,,,Crystal Palace,Chelsea
1.0,2021-08-14,Joachim Andersen,D,33,0.0,1.0,0.0,0.0,Crystal Palace,Chelsea
1.0,2021-08-14,Jairo Riedewald,M,76,0.0,2.0,0.0,0.0,Crystal Palace,Chelsea
1.0,2021-08-14,Malang Sarr,D,0,0.0,0.0,,,Chelsea,Crystal Palace
1.0,2021-08-14,Luka Milivojevic,M,0,0.0,0.0,,,Crystal Palace,Chelsea
1.0,2021-08-14,Kepa Arrizabalaga,G,0,0.0,0.0,,,Chelsea,Crystal Palace
1.0,2021-08-14,Vicente Guaita,G,90,0.0,2.0,0.0,0.0,Crystal Palace,Chelsea
1.0,2021-08-14,Emerson Palmieri dos Santos,D,4,0.0,1.0,0.0,0.0,Chelsea,Crystal Palace
1.0,2021-08-14,Jack Butland,G,0,0.0,0.0,,,Crystal Palace,Chelsea
1.0,2021-08-14,Ruben Loftus-Cheek,M,0,0.0,0.0,,,Chelsea,Crystal Palace
1.0,2021-08-14,César Azpilicueta,D,66,0.0,6.0,0.029,0.0,Chelsea,Crystal Palace
1.0,2021-08-14,James McArthur,M,90,0.0,2.0,0.0,0.066,Crystal Palace,Chelsea
1.0,2021-08-14,Nathaniel Clyne,D,0,0.0,0.0,,,Crystal Palace,Chelsea
1.0,2021-08-14,Ross Barkley,M,0,0.0,0.0,,,Chelsea,Crystal Palace
1.0,2021-08-14,Cheikhou Kouyaté,D,90,0.0,1.0,0.0,0.0,Crystal Palace,Chelsea
1.0,2021-08-14,Joel Ward,D,90,0.0,1.0,0.0,0.0,Crystal Palace,Chelsea
1.0,2021-08-14,Andreas Christensen,D,90,1.0,7.0,0.0,0.0,Chelsea,Crystal Palace
1.0,2021-08-14,Callum Hudson-Odoi,M,0,0.0,0.0,,,Chelsea,Crystal Palace
1.0,2021-08-14,Marcos Alonso,D,85,3.0,15.0,0.187,0.176,Chelsea,Crystal Palace
1.0,2021-08-14,Kurt Zouma,D,0,0.0,0.0,,,Chelsea,Crystal Palace
1.0,2021-08-14,Jordan Ayew,F,90,0.0,2.0,0.03,0.137,Crystal Palace,Chelsea
1.0,2021-08-14,James Tomkins,D,0,0.0,0.0,,,Crystal Palace,Chelsea
1.0,2021-08-14,Timo Werner,F,90,0.0,2.0,0.129,0.022,Chelsea,Crystal Palace
1.0,2021-08-14,Michael Olise,M,0,0.0,0.0,,,Crystal Palace,Chelsea
1.0,2021-08-14,Marc Guéhi,D,90,0.0,1.0,0.0,0.119,Crystal Palace,Chelsea
1.0,2021-08-14,Mateo Kovacic,M,90,0.0,6.0,0.038,0.049,Chelsea,Crystal Palace
1.0,2021-08-14,Antonio Rüdiger,D,90,0.0,6.0,0.0,0.0,Chelsea,Crystal Palace
1.0,2021-08-14,N'Golo Kanté,M,0,0.0,0.0,,,Chelsea,Crystal Palace
1.0,2021-08-14,Trevoh Chalobah,D,90,2.0,14.0,0.02,0.0,Chelsea,Crystal Palace
1.0,2021-08-14,Jean-Philippe Mateta,F,56,0.0,1.0,0.0,0.0,Crystal Palace,Chelsea
1.0,2021-08-14,Thiago Emiliano da Silva,D,0,0.0,0.0,,,Chelsea,Crystal Palace
1.0,2021-08-14,Benjamin Chilwell,D,0,0.0,0.0,,,Chelsea,Crystal Palace
1.0,2021-08-14,Jeffrey Schlupp,M,56,0.0,1.0,0.119,0.0,Crystal Palace,Chelsea
1.0,2021-08-14,Hakim Ziyech,M,0,0.0,0.0,,,Chelsea,Crystal Palace
1.0,2021-08-14,Christian Pulisic,M,81,0.0,8.0,0.638,0.0,Chelsea,Crystal Palace
1.0,2021-08-14,Christian Benteke,F,33,0.0,1.0,0.036,0.0,Crystal Palace,Chelsea
1.0,2021-08-14,Reece James,D,23,0.0,1.0,0.0,0.0,Chelsea,Crystal Palace
1.0,2021-08-14,Romelu Lukaku,F,0,0.0,0.0,,,Chelsea,Crystal Palace
1.0,2021-08-14,Kai Havertz,M,8,0.0,1.0,0.0,0.0,Chelsea,Crystal Palace
1.0,2021-08-14,Jorge Luiz Frello Filho,M,90,0.0,3.0,0.0,0.076,Chelsea,Crystal Palace
1.0,2021-08-14,Conor Gallagher,M,0,0.0,0.0,,,Crystal Palace,Chelsea
1.0,2021-08-14,Mason Mount,M,90,0.0,6.0,0.147,0.0,Chelsea,Crystal Palace
1.0,2021-08-14,Wilfried Zaha,M,90,0.0,2.0,0.137,0.0,Crystal Palace,Chelsea
1.0,2021-08-14,Jaden Philogene-Bidace,M,0,0.0,0.0,,,Aston Villa,Watford
1.0,2021-08-14,Carney Chukwuemeka,M,0,0.0,0.0,,,Aston Villa,Watford
1.0,2021-08-14,Jeremy Ngakia,D,0,0.0,0.0,,,Watford,Aston Villa
1.0,2021-08-14,Marvelous Nakamba,M,90,0.0,2.0,0.0,0.0,Aston Villa,Watford
1.0,2021-08-14,Wesley Moraes,F,0,0.0,0.0,,,Aston Villa,Watford
1.0,2021-08-14,Mahmoud Ahmed Ibrahim Hassan,M,0,0.0,0.0,,,Aston Villa,Watford
1.0,2021-08-14,Imrân Louza,M,0,0.0,0.0,,,Watford,Aston Villa
1.0,2021-08-14,Francisco Sierralta,D,0,0.0,0.0,,,Watford,Aston Villa
1.0,2021-08-14,William Troost-Ekong,D,90,0.0,1.0,0.0,0.0,Watford,Aston Villa
1.0,2021-08-14,Ken Sema,M,90,0.0,1.0,0.0,0.557,Watford,Aston Villa
1.0,2021-08-14,Oghenekaro Peter Etebo,M,90,0.0,1.0,0.0,0.034,Watford,Aston Villa
1.0,2021-08-14,Will Hughes,M,0,0.0,0.0,,,Watford,Aston Villa
