gameweek,kickoff_date,fixture_id,completed,team,opponent,home,team_xG,team_xGA,proj_score,opponent_proj_score,avg_team_xG,avg_team_xGA
8.0,2021-10-16,73,1,Brentford,Chelsea,1,1.98,0.3,0.84,1.74,1.577,1.577
8.0,2021-10-16,73,1,Chelsea,Brentford,0,0.3,1.98,1.74,0.84,1.836,1.836
8.0,2021-10-17,74,1,Everton,West Ham,1,0.92,1.81,1.48,1.32,1.739,1.739
8.0,2021-10-17,74,1,West Ham,Everton,0,1.81,0.92,1.32,1.48,2.174,2.174
8.0,2021-10-16,75,1,Leicester,Man Utd,1,2.81,1.3,1.21,1.75,1.153,1.153
8.0,2021-10-16,75,1,Man Utd,Leicester,0,1.3,2.81,1.75,1.21,1.694,1.694
8.0,2021-10-16,76,1,Burnley,Man City,0,1.13,2.39,0.44,2.75,1.278,1.278
8.0,2021-10-16,76,1,Man City,Burnley,1,2.39,1.13,2.75,0.44,2.079,2.079
8.0,2021-10-17,77,1,Newcastle,Spurs,1,0.61,1.94,1.37,1.72,1.373,1.373
8.0,2021-10-17,77,1,Spurs,Newcastle,0,1.94,0.61,1.72,1.37,1.269,1.269
8.0,2021-10-16,78,1,Brighton,Norwich,0,1.22,1.12,1.35,0.97,1.255,1.255
8.0,2021-10-16,78,1,Norwich,Brighton,1,1.12,1.22,0.97,1.35,0.844,0.844
8.0,2021-10-16,79,1,Leeds,Southampton,0,0.37,1.88,1.29,1.42,1.116,1.116
8.0,2021-10-16,79,1,Southampton,Leeds,1,1.88,0.37,1.42,1.29,1.101,1.101
8.0,2021-10-16,80,1,Liverpool,Watford,0,3.61,0.28,2.54,0.83,2.589,2.589
8.0,2021-10-16,80,1,Watford,Liverpool,1,0.28,3.61,0.83,2.54,0.984,0.984
9.0,2021-10-22,81,1,Arsenal,Aston Villa,1,3.91,1.48,1.56,1.17,1.172,1.172
9.0,2021-10-22,81,1,Aston Villa,Arsenal,0,1.48,3.91,1.17,1.56,1.159,1.159
9.0,2021-10-24,82,1,Brentford,Leicester,1,1.28,1.08,1.38,1.44,1.657,1.657
9.0,2021-10-24,82,1,Leicester,Brentford,0,1.08,1.28,1.44,1.38,1.485,1.485
9.0,2021-10-23,83,1,Brighton,Man City,1,1.27,3.31,0.73,2.08,1.248,1.248
9.0,2021-10-23,83,1,Man City,Brighton,0,3.31,1.27,2.08,0.73,2.141,2.141
9.0,2021-10-23,84,1,Chelsea,Norwich,1,2.84,0.19,2.21,0.47,1.528,1.528
9.0,2021-10-23,84,1,Norwich,Chelsea,0,0.19,2.84,0.47,2.21,0.899,0.899
9.0,2021-10-23,85,1,Crystal Palace,Newcastle,1,1.97,0.82,1.53,1.19,1.056,1.056
9.0,2021-10-23,85,1,Newcastle,Crystal Palace,0,0.82,1.97,1.19,1.53,1.221,1.221
9.0,2021-10-23,86,1,Everton,Watford,1,1.75,3.63,1.64,0.81,1.575,1.575
9.0,2021-10-23,86,1,Watford,Everton,0,3.63,1.75,0.81,1.64,0.843,0.843
9.0,2021-10-23,87,1,Leeds,Wolves,1,1.77,0.88,1.3,1.18,0.967,0.967
9.0,2021-10-23,87,1,Wolves,Leeds,0,0.88,1.77,1.18,1.3,1.453,1.453
9.0,2021-10-24,88,1,Liverpool,Man Utd,0,3.84,1.47,2.04,1.53,2.793,2.793
9.0,2021-10-24,88,1,Man Utd,Liverpool,1,1.47,3.84,1.53,2.04,1.616,1.616
9.0,2021-10-23,89,1,Burnley,Southampton,0,0.73,1.55,1.1,1.48,1.249,1.249
9.0,2021-10-23,89,1,Southampton,Burnley,1,1.55,0.73,1.48,1.1,1.257,1.257
9.0,2021-10-24,90,1,Spurs,West Ham,0,0.78,1.73,1.35,1.65,1.403,1.403
9.0,2021-10-24,90,1,West Ham,Spurs,1,1.73,0.78,1.65,1.35,2.101,2.101
10.0,2021-10-31,91,1,Aston Villa,West Ham,1,0.72,2.72,1.42,1.53,1.223,1.223
10.0,2021-10-31,91,1,West Ham,Aston Villa,0,2.72,0.72,1.53,1.42,2.027,2.027
10.0,2021-10-30,92,1,Brentford,Burnley,0,1.08,2.83,1.25,1.31,1.582,1.582
10.0,2021-10-30,92,1,Burnley,Brentford,1,2.83,1.08,1.31,1.25,1.145,1.145
10.0,2021-10-30,93,1,Arsenal,Leicester,0,0.98,2.03,1.43,1.53,1.719,1.719
10.0,2021-10-30,93,1,Leicester,Arsenal,1,2.03,0.98,1.53,1.43,1.404,1.404
10.0,2021-10-30,94,1,Brighton,Liverpool,0,1.41,1.66,0.76,2.45,1.252,1.252
10.0,2021-10-30,94,1,Liverpool,Brighton,1,1.66,1.41,2.45,0.76,3.003,3.003
10.0,2021-10-30,95,1,Crystal Palace,Man City,0,1.07,0.74,0.48,2.73,1.239,1.239
10.0,2021-10-30,95,1,Man City,Crystal Palace,1,0.74,1.07,2.73,0.48,2.375,2.375
10.0,2021-10-30,96,1,Chelsea,Newcastle,0,2.59,0.24,2.11,0.89,1.791,1.791
10.0,2021-10-30,96,1,Newcastle,Chelsea,1,0.24,2.59,0.89,2.11,1.141,1.141
10.0,2021-10-31,97,1,Leeds,Norwich,0,0.8,0.76,1.49,1.07,1.128,1.128
10.0,2021-10-31,97,1,Norwich,Leeds,1,0.76,0.8,1.07,1.49,0.758,0.758
10.0,2021-10-30,98,1,Man Utd,Spurs,0,1.3,1.52,1.69,1.42,1.586,1.586
10.0,2021-10-30,98,1,Spurs,Man Utd,1,1.52,1.3,1.42,1.69,1.278,1.278
10.0,2021-10-30,99,1,Southampton,Watford,0,1.72,0.99,1.31,1.23,1.315,1.315
10.0,2021-10-30,99,1,Watford,Southampton,1,0.99,1.72,1.23,1.31,1.4,1.4
10.0,2021-11-01,100,1,Everton,Wolves,0,1.86,1.53,1.11,1.43,1.61,1.61
10.0,2021-11-01,100,1,Wolves,Everton,1,1.53,1.86,1.43,1.11,1.338,1.338
11.0,2021-11-07,101,1,Arsenal,Watford,1,1.55,0.52,1.85,0.8,1.571,1.571
11.0,2021-11-07,101,1,Watford,Arsenal,0,0.52,1.55,0.8,1.85,1.318,1.318
11.0,2021-11-06,102,1,Brentford,Norwich,1,3.02,1.17,1.63,0.81,1.482,1.482
11.0,2021-11-06,102,1,Norwich,Brentford,0,1.17,3.02,0.81,1.63,0.758,0.758
11.0,2021-11-06,103,1,Brighton,Newcastle,1,1.43,0.34,1.71,0.91,1.284,1.284
11.0,2021-11-06,103,1,Newcastle,Brighton,0,0.34,1.43,0.91,1.71,0.96,0.96
11.0,2021-11-06,104,1,Burnley,Chelsea,0,0.71,2.73,0.6,2.23,1.482,1.482
11.0,2021-11-06,104,1,Chelsea,Burnley,1,2.73,0.71,2.23,0.6,1.951,1.951
11.0,2021-11-06,105,1,Crystal Palace,Wolves,1,2.16,0.29,1.24,1.14,1.205,1.205
11.0,2021-11-06,105,1,Wolves,Crystal Palace,0,0.29,2.16,1.14,1.24,1.377,1.377
11.0,2021-11-07,106,1,Everton,Spurs,1,0.65,0.91,1.5,1.44,1.66,1.66
11.0,2021-11-07,106,1,Spurs,Everton,0,0.91,0.65,1.44,1.5,1.327,1.327
11.0,2021-11-07,107,1,Leeds,Leicester,1,1.72,0.74,1.46,1.44,1.062,1.062
11.0,2021-11-07,107,1,Leicester,Leeds,0,0.74,1.72,1.44,1.46,1.529,1.529
11.0,2021-11-06,108,1,Man City,Man Utd,0,2.67,0.79,2.1,1.27,2.048,2.048
11.0,2021-11-06,108,1,Man Utd,Man City,1,0.79,2.67,1.27,2.1,1.529,1.529
11.0,2021-11-05,109,1,Aston Villa,Southampton,0,0.69,0.89,1.29,1.47,1.123,1.123
11.0,2021-11-05,109,1,Southampton,Aston Villa,1,0.89,0.69,1.47,1.29,1.396,1.396
11.0,2021-11-07,110,1,Liverpool,West Ham,0,2.03,1.11,2.22,1.32,2.734,2.734
11.0,2021-11-07,110,1,West Ham,Liverpool,1,1.11,2.03,1.32,2.22,2.166,2.166
12.0,2021-11-20,111,1,Aston Villa,Brighton,1,1.05,0.35,1.32,1.29,1.036,1.036
12.0,2021-11-20,111,1,Brighton,Aston Villa,0,0.35,1.05,1.29,1.32,1.313,1.313
12.0,2021-11-20,112,1,Burnley,Crystal Palace,1,1.37,1.87,1.38,1.28,1.328,1.328
12.0,2021-11-20,112,1,Crystal Palace,Burnley,0,1.87,1.37,1.28,1.38,1.396,1.396
12.0,2021-11-20,113,1,Chelsea,Leicester,0,2.57,0.53,1.85,1.02,2.106,2.106
12.0,2021-11-20,113,1,Leicester,Chelsea,1,0.53,2.57,1.02,1.85,1.371,1.371
12.0,2021-11-20,114,1,Arsenal,Liverpool,0,0.26,3.7,0.99,2.36,1.567,1.567
12.0,2021-11-20,114,1,Liverpool,Arsenal,1,3.7,0.26,2.36,0.99,2.593,2.593
12.0,2021-11-21,115,1,Everton,Man City,0,0.25,2.86,0.58,2.73,1.458,1.458
12.0,2021-11-21,115,1,Man City,Everton,1,2.86,0.25,2.73,0.58,2.173,2.173
12.0,2021-11-20,116,1,Brentford,Newcastle,0,1.11,2.51,1.38,1.34,1.789,1.789
12.0,2021-11-20,116,1,Newcastle,Brentford,1,2.51,1.11,1.34,1.38,0.836,0.836
12.0,2021-11-20,117,1,Norwich,Southampton,1,0.53,1.09,1.06,1.38,0.84,0.84
12.0,2021-11-20,117,1,Southampton,Norwich,0,1.09,0.53,1.38,1.06,1.295,1.295
12.0,2021-11-21,118,1,Leeds,Spurs,0,1.31,2.39,1.18,1.52,1.194,1.194
12.0,2021-11-21,118,1,Spurs,Leeds,1,2.39,1.31,1.52,1.18,1.243,1.243
12.0,2021-11-20,119,1,Man Utd,Watford,0,1.72,2.99,1.89,1.01,1.381,1.381
12.0,2021-11-20,119,1,Watford,Man Utd,1,2.99,1.72,1.01,1.89,1.159,1.159
12.0,2021-11-20,120,1,West Ham,Wolves,0,0.42,1.44,1.5,1.14,1.954,1.954
12.0,2021-11-20,120,1,Wolves,West Ham,1,1.44,0.42,1.14,1.5,1.159,1.159
13.0,2021-11-27,121,1,Arsenal,Newcastle,1,3.24,0.24,1.82,0.98,1.306,1.306
13.0,2021-11-27,121,1,Newcastle,Arsenal,0,0.24,3.24,0.98,1.82,1.171,1.171
13.0,2021-11-28,122,1,Brentford,Everton,1,1.19,1.13,1.46,1.3,1.653,1.653
13.0,2021-11-28,122,1,Everton,Brentford,0,1.13,1.19,1.3,1.46,1.217,1.217
13.0,2021-11-27,123,1,Brighton,Leeds,1,2.13,0.92,1.38,1.01,1.12,1.12
13.0,2021-11-27,123,1,Leeds,Brighton,0,0.92,2.13,1.01,1.38,1.217,1.217
26.0,2022-02-23,124,1,Burnley,Spurs,1,1.57,0.8,1.22,1.58,0.884,0.884
26.0,2022-02-23,124,1,Spurs,Burnley,0,0.8,1.57,1.58,1.22,2.135,2.135
13.0,2021-11-28,125,1,Chelsea,Man Utd,1,2.54,0.65,1.98,0.95,2.199,2.199
13.0,2021-11-28,125,1,Man Utd,Chelsea,0,0.65,2.54,0.95,1.98,1.449,1.449
13.0,2021-11-27,126,1,Aston Villa,Crystal Palace,0,0.48,0.98,1.28,1.49,1.039,1.039
13.0,2021-11-27,126,1,Crystal Palace,Aston Villa,1,0.98,0.48,1.49,1.28,1.491,1.491
13.0,2021-11-28,127,1,Leicester,Watford,1,2.25,2.93,1.72,1.08,1.203,1.203
13.0,2021-11-28,127,1,Watford,Leicester,0,2.93,2.25,1.08,1.72,1.525,1.525
13.0,2021-11-27,128,1,Liverpool,Southampton,1,2.68,1.45,2.7,0.68,2.815,2.815
13.0,2021-11-27,128,1,Southampton,Liverpool,0,1.45,2.68,0.68,2.7,1.254,1.254
13.0,2021-11-28,129,1,Man City,West Ham,1,2.62,0.19,2.34,0.85,2.31,2.31
13.0,2021-11-28,129,1,West Ham,Man City,0,0.19,2.62,0.85,2.34,1.648,1.648
13.0,2021-11-27,130,1,Norwich,Wolves,1,1.52,0.35,1.01,1.35,0.778,0.778
13.0,2021-11-27,130,1,Wolves,Norwich,0,0.35,1.52,1.35,1.01,1.216,1.216
14.0,2021-12-01,131,1,Aston Villa,Man City,1,0.82,1.36,0.82,2.44,0.927,0.927
14.0,2021-12-01,131,1,Man City,Aston Villa,0,1.36,0.82,2.44,0.82,2.372,2.372
14.0,2021-12-01,132,1,Everton,Liverpool,1,0.55,3.03,0.99,2.54,1.199,1.199
14.0,2021-12-01,132,1,Liverpool,Everton,0,3.03,0.55,2.54,0.99,2.788,2.788
14.0,2021-11-30,133,1,Crystal Palace,Leeds,0,0.78,1.99,1.18,1.41,1.389,1.389
14.0,2021-11-30,133,1,Leeds,Crystal Palace,1,1.99,0.78,1.41,1.18,1.158,1.158
14.0,2021-12-02,134,1,Arsenal,Man Utd,0,1.37,2.17,1.26,1.58,1.693,1.693
14.0,2021-12-02,134,1,Man Utd,Arsenal,1,2.17,1.37,1.58,1.26,1.289,1.289
