player_id,fixture_id,goal_xP,assist_xP,bonus_xP,cs_xP,concede_xP,xP
4,349,1.493,0.083,0.004,0.0,0.0,0.0
4,351,1.862,0.104,0.004,0.0,0.0,0.0
4,365,1.299,0.072,0.004,0.0,0.0,0.0
4,371,1.695,0.094,0.004,0.0,0.0,0.0
5,1,,,,,,
5,18,0.0,0.0,0.0,0.0,0.0,0.0
5,24,0.0,0.183,0.0,0.475,-0.525,1.067
5,31,0.0,0.411,0.0,1.744,-0.168,3.19
5,43,0.036,0.283,0.0,1.181,-0.278,1.933
5,51,0.039,0.301,0.0,1.09,-0.301,1.251
5,61,0.029,0.225,0.0,1.158,-0.284,0.938
5,71,0.044,0.345,0.0,1.594,-0.193,0.758
5,81,0.04,0.311,0.0,1.241,-0.264,0.333
5,93,0.025,0.195,0.0,0.866,-0.365,0.272
5,101,0.035,0.276,0.0,1.797,-0.16,0.395
5,114,0.019,0.148,0.0,0.378,-0.584,0.0
5,121,0.042,0.326,0.0,1.501,-0.21,0.0
5,134,0.022,0.174,0.0,0.824,-0.378,0.0
5,142,0.026,0.204,0.0,1.169,-0.281,0.0
5,151,0.032,0.247,0.0,1.501,-0.21,0.0
5,161,0.026,0.205,0.0,1.169,-0.281,0.0
5,173,0.025,0.197,0.0,1.254,-0.261,0.0
5,187,0.02,0.152,0.0,1.779,-0.162,0.379
5,191,0.03,0.167,0.0,2.067,-0.121,3.315
5,201,0.012,0.092,0.0,0.581,-0.472,0.221
5,218,0.106,0.19,0.0,0.866,-0.365,2.797
5,221,0.023,0.182,0.0,1.815,-0.157,0.386
5,236,0.016,0.124,0.0,1.659,-0.182,0.0
5,243,0.146,0.186,0.0,0.841,-0.373,2.8
5,251,0.018,0.151,0.0,1.967,-0.135,2.001
5,261,0.087,0.069,0.0,0.581,-0.472,2.265
5,279,0.028,0.149,0.0,1.71,-0.174,3.342
5,281,0.07,0.178,0.0,1.472,-0.216,3.504
5,291,0.12,0.083,0.0,1.292,-0.253,3.242
5,304,0.105,0.138,0.0,1.516,-0.208,3.551
5,311,0.094,0.125,0.0,1.928,-0.14,4.007
5,326,0.185,0.306,0.0,1.442,-0.222,3.712
5,331,0.182,0.328,0.0,1.516,-0.208,3.437
5,349,0.129,0.23,0.0,1.386,-0.233,3.512
5,351,0.161,0.288,0.0,1.547,-0.202,3.793
5,365,0.112,0.2,0.0,1.372,-0.236,3.448
5,371,0.146,0.262,0.0,1.852,-0.151,4.109
