fpl_id,understat_id,gameweek,kickoff_date,completed,home_team,away_team,home_score,away_score,home_proj_score,away_proj_score,home_xG,away_xG
91,16466,10.0,2021-10-31,1,Aston Villa,West Ham,1.0,4.0,1.42,1.53,0.72,2.72
92,16467,10.0,2021-10-30,1,Burnley,Brentford,3.0,1.0,1.31,1.25,2.83,1.08
93,16468,10.0,2021-10-30,1,Leicester,Arsenal,0.0,2.0,1.53,1.43,2.03,0.98
94,16469,10.0,2021-10-30,1,Liverpool,Brighton,2.0,2.0,2.45,0.76,1.66,1.41
95,16470,10.0,2021-10-30,1,Man City,Crystal Palace,0.0,2.0,2.73,0.48,0.74,1.07
96,16471,10.0,2021-10-30,1,Newcastle,Chelsea,0.0,3.0,0.89,2.11,0.24,2.59
97,16472,10.0,2021-10-31,1,Norwich,Leeds,1.0,2.0,1.07,1.49,0.76,0.8
98,16473,10.0,2021-10-30,1,Spurs,Man Utd,0.0,3.0,1.42,1.69,1.52,1.3
99,16474,10.0,2021-10-30,1,Watford,Southampton,0.0,1.0,1.23,1.31,0.99,1.72
100,16475,10.0,2021-11-01,1,Wolves,Everton,2.0,1.0,1.43,1.11,1.53,1.86
101,16476,11.0,2021-11-07,1,Arsenal,Watford,1.0,0.0,1.85,0.8,1.55,0.52
102,16477,11.0,2021-11-06,1,Brentford,Norwich,1.0,2.0,1.63,0.81,3.02,1.17
103,16478,11.0,2021-11-06,1,Brighton,Newcastle,1.0,1.0,1.71,0.91,1.43,0.34
104,16479,11.0,2021-11-06,1,Chelsea,Burnley,1.0,1.0,2.23,0.6,2.73,0.71
105,16480,11.0,2021-11-06,1,Crystal Palace,Wolves,2.0,0.0,1.24,1.14,2.16,0.29
106,16481,11.0,2021-11-07,1,Everton,Spurs,0.0,0.0,1.5,1.44,0.65,0.91
107,16482,11.0,2021-11-07,1,Leeds,Leicester,1.0,1.0,1.46,1.44,1.72,0.74
108,16483,11.0,2021-11-06,1,Man Utd,Man City,0.0,2.0,1.27,2.1,0.79,2.67
109,16484,11.0,2021-11-05,1,Southampton,Aston Villa,1.0,0.0,1.47,1.29,0.89,0.69
110,16485,11.0,2021-11-07,1,West Ham,Liverpool,3.0,2.0,1.32,2.22,1.11,2.03
111,16486,12.0,2021-11-20,1,Aston Villa,Brighton,2.0,0.0,1.32,1.29,1.05,0.35
112,16487,12.0,2021-11-20,1,Burnley,Crystal Palace,3.0,3.0,1.38,1.28,1.37,1.87
113,16488,12.0,2021-11-20,1,Leicester,Chelsea,0.0,3.0,1.02,1.85,0.53,2.57
114,16489,12.0,2021-11-20,1,Liverpool,Arsenal,4.0,0.0,2.36,0.99,3.7,0.26
115,16490,12.0,2021-11-21,1,Man City,Everton,3.0,0.0,2.73,0.58,2.86,0.25
116,16491,12.0,2021-11-20,1,Newcastle,Brentford,3.0,3.0,1.34,1.38,2.51,1.11
117,16492,12.0,2021-11-20,1,Norwich,Southampton,2.0,1.0,1.06,1.38,0.53,1.09
118,16493,12.0,2021-11-21,1,Spurs,Leeds,2.0,1.0,1.52,1.18,2.39,1.31
119,16494,12.0,2021-11-20,1,Watford,Man Utd,4.0,1.0,1.01,1.89,2.99,1.72
120,16495,12.0,2021-11-20,1,Wolves,West Ham,1.0,0.0,1.14,1.5,1.44,0.42
121,16496,13.0,2021-11-27,1,Arsenal,Newcastle,2.0,0.0,1.82,0.98,3.24,0.24
122,16497,13.0,2021-11-28,1,Brentford,Everton,1.0,0.0,1.46,1.3,1.19,1.13
123,16498,13.0,2021-11-27,1,Brighton,Leeds,0.0,0.0,1.38,1.01,2.13,0.92
124,16499,26.0,2022-02-23,1,Burnley,Spurs,1.0,0.0,1.22,1.58,1.57,0.8
125,16500,13.0,2021-11-28,1,Chelsea,Man Utd,1.0,1.0,1.98,0.95,2.54,0.65
126,16501,13.0,2021-11-27,1,Crystal Palace,Aston Villa,1.0,2.0,1.49,1.28,0.98,0.48
127,16502,13.0,2021-11-28,1,Leicester,Watford,4.0,2.0,1.72,1.08,2.25,2.93
128,16503,13.0,2021-11-27,1,Liverpool,Southampton,4.0,0.0,2.7,0.68,2.68,1.45
129,16504,13.0,2021-11-28,1,Man City,West Ham,2.0,1.0,2.34,0.85,2.62,0.19
130,16505,13.0,2021-11-27,1,Norwich,Wolves,0.0,0.0,1.01,1.35,1.52,0.35
131,16506,14.0,2021-12-01,1,Aston Villa,Man City,1.0,2.0,0.82,2.44,0.82,1.36
132,16507,14.0,2021-12-01,1,Everton,Liverpool,1.0,4.0,0.99,2.54,0.55,3.03
133,16508,14.0,2021-11-30,1,Leeds,Crystal Palace,1.0,0.0,1.41,1.18,1.99,0.78
134,16512,14.0,2021-12-02,1,Man Utd,Arsenal,3.0,2.0,1.58,1.26,2.17,1.37
135,16509,14.0,2021-12-01,1,Watford,Chelsea,1.0,2.0,0.76,2.18,0.98,0.91
136,16510,14.0,2021-12-01,1,West Ham,Brighton,1.0,1.0,1.51,0.96,1.13,1.43
137,16511,14.0,2021-12-01,1,Wolves,Burnley,0.0,0.0,1.44,1.09,0.75,0.25
138,16513,14.0,2021-11-30,1,Newcastle,Norwich,1.0,1.0,1.54,1.07,1.13,1.52
139,16514,14.0,2021-12-01,1,Southampton,Leicester,2.0,2.0,1.46,1.35,1.91,1.57
140,16515,14.0,2021-12-02,1,Spurs,Brentford,2.0,0.0,1.58,1.14,2.54,0.32
141,16516,15.0,2021-12-05,1,Aston Villa,Leicester,2.0,1.0,1.65,1.41,2.01,1.03
142,16517,15.0,2021-12-06,1,Everton,Arsenal,2.0,1.0,1.23,1.42,1.12,1.01
143,16518,15.0,2021-12-05,1,Leeds,Brentford,2.0,2.0,1.51,1.11,1.49,1.24
144,16519,15.0,2021-12-05,1,Man Utd,Crystal Palace,1.0,0.0,1.89,1.02,0.98,0.57
145,16520,15.0,2021-12-04,1,Newcastle,Burnley,1.0,0.0,1.41,1.48,1.55,0.63
146,16521,15.0,2021-12-04,1,Southampton,Brighton,1.0,1.0,1.12,1.18,1.23,1.57
147,16522,15.0,2021-12-05,1,Spurs,Norwich,3.0,0.0,1.71,0.83,2.12,1.23
148,16523,15.0,2021-12-04,1,Watford,Man City,1.0,3.0,0.74,2.6,0.88,3.68
149,16524,15.0,2021-12-04,1,West Ham,Chelsea,3.0,2.0,1.09,1.65,2.01,1.37
150,16525,15.0,2021-12-04,1,Wolves,Liverpool,0.0,1.0,0.81,2.31,0.12,2.66
151,16526,16.0,2021-12-11,1,Arsenal,Southampton,3.0,0.0,1.59,0.98,2.02,0.5
