gameweek,manager_id,player_id
27,505657,254
27,505657,255
27,505657,256
27,505657,357
27,505657,359
27,505657,485
27,505657,491
27,505657,510
27,505657,518
27,505657,572
27,505657,700
28,505657,22
28,505657,40
28,505657,44
28,505657,69
28,505657,127
28,505657,196
28,505657,233
28,505657,237
28,505657,420
28,505657,430
28,505657,439
28,505657,450
28,505657,491
28,505657,559
28,505657,681
29,505657,22
29,505657,44
29,505657,69
29,505657,127
29,505657,171
29,505657,196
29,505657,233
29,505657,237
29,505657,357
29,505657,430
29,505657,439
29,505657,450
29,505657,491
29,505657,559
29,505657,681
30,505657,22
30,505657,44
30,505657,69
30,505657,127
30,505657,196
30,505657,215
30,505657,237
30,505657,357
30,505657,359
30,505657,430
30,505657,439
30,505657,450
30,505657,491
30,505657,559
30,505657,681
31,505657,22
31,505657,67
31,505657,112
31,505657,141
31,505657,142
31,505657,200
31,505657,212
31,505657,234
31,505657,256
31,505657,357
31,505657,419
31,505657,472
31,505657,485
31,505657,585
31,505657,700
32,505657,22
32,505657,67
32,505657,112
32,505657,141
32,505657,142
32,505657,200
32,505657,212
32,505657,234
32,505657,256
32,505657,357
32,505657,419
32,505657,472
32,505657,485
32,505657,585
32,505657,700
33,505657,22
33,505657,67
33,505657,112
33,505657,141
33,505657,142
33,505657,200
33,505657,212
33,505657,234
33,505657,256
33,505657,357
33,505657,472
33,505657,485
33,505657,585
33,505657,700
33,505657,701
34,505657,22
34,505657,67
34,505657,141
34,505657,142
34,505657,200
34,505657,212
34,505657,233
34,505657,234
34,505657,256
34,505657,315
34,505657,359
34,505657,376
34,505657,472
34,505657,585
34,505657,700
35,505657,22
35,505657,67
35,505657,141
35,505657,142
35,505657,200
35,505657,212
35,505657,233
35,505657,234
35,505657,256
35,505657,315
35,505657,359
35,505657,376
35,505657,472
35,505657,585
35,505657,700
36,505657,22
36,505657,67
36,505657,141
36,505657,142
36,505657,200
36,505657,212
36,505657,233
36,505657,234
36,505657,256
36,505657,315
36,505657,359
36,505657,376
36,505657,472
36,505657,585
36,505657,700
37,505657,22
37,505657,67
37,505657,141
37,505657,142
37,505657,200
37,505657,212
37,505657,233
37,505657,234
37,505657,256
37,505657,315
37,505657,359
37,505657,376
37,505657,472
37,505657,585
37,505657,700
38,505657,22
38,505657,67
38,505657,141
38,505657,142
38,505657,200
38,505657,212
38,505657,233
38,505657,234
38,505657,256
38,505657,315
38,505657,359
38,505657,376
38,505657,472
38,505657,585
38,505657,700
39,505657,22
39,505657,67
39,505657,141
39,505657,142
39,505657,200
39,505657,212
39,505657,233
39,505657,234
39,505657,256
39,505657,315
39,505657,359
39,505657,376
39,505657,472
39,505657,585
39,505657,700
