fpl_id,understat_id,fpl_name,position,team_name
241,,Nathaniel Phillips,D,Liverpool
242,7904.0,Caoimhin Kelleher,G,Liverpool
243,6326.0,Ibrahima Konaté,D,Liverpool
244,6665.0,Curtis Jones,M,Liverpool
245,8852.0,Konstantinos Tsimikas,D,Liverpool
246,8204.0,Neco Williams,D,Liverpool
247,,Rhys Williams,D,Liverpool
248,,Ben Davies,D,Liverpool
249,638.0,Kyle Walker,D,Man City
250,314.0,Ilkay Gündogan,M,Man City
251,447.0,Kevin De Bruyne,M,Man City
252,586.0,John Stones,D,Man City
253,3389.0,Benjamin Mendy,D,Man City
254,750.0,Riyad Mahrez,M,Man City
255,618.0,Raheem Sterling,M,Man City
256,2379.0,João Pedro Cavaco Cancelo,D,Man City
257,6054.0,Ederson Santana de Moraes,G,Man City
258,579.0,Nathan Aké,D,Man City
259,2498.0,Aymeric Laporte,D,Man City
260,7817.0,Zack Steffen,G,Man City
261,3635.0,Bernardo Mota Veiga de Carvalho e Silva,M,Man City
262,8961.0,Rúben Santos Gato Alves Dias,D,Man City
263,5543.0,Gabriel Fernando de Jesus,F,Man City
264,2958.0,Oleksandr Zinchenko,D,Man City
265,6055.0,Phil Foden,M,Man City
266,2496.0,Rodrigo Hernandez,M,Man City
267,8720.0,Jack Harrison,M,Leeds
268,6441.0,Ferran Torres,M,Man City
269,3294.0,Edinson Cavani,F,Man Utd
270,546.0,David de Gea,G,Man Utd
271,697.0,Nemanja Matic,M,Man Utd
272,1740.0,Paul Pogba,M,Man Utd
273,1687.0,Harry Maguire,D,Man Utd
274,6817.0,Frederico Rodrigues de Paula Santos,M,Man Utd
275,1006.0,Luke Shaw,D,Man Utd
276,558.0,Jesse Lingard,M,Man Utd
277,1228.0,Bruno Miguel Borges Fernandes,M,Man Utd
278,553.0,Anthony Martial,F,Man Utd
279,1828.0,Alex Nicolao Telles,D,Man Utd
280,,Dean Henderson,G,Man Utd
281,556.0,Marcus Rashford,M,Man Utd
282,8821.0,Donny van de Beek,M,Everton
283,934.0,Axel Tuanzebe,D,Man Utd
284,6080.0,Victor Lindelöf,D,Man Utd
285,5560.0,Scott McTominay,M,Man Utd
286,1739.0,Eric Bailly,D,Man Utd
287,5595.0,Daniel James,M,Leeds
288,5584.0,Aaron Wan-Bissaka,D,Man Utd
289,7490.0,Mason Greenwood,M,Man Utd
290,8075.0,Brandon Williams,D,Norwich
291,769.0,Jonjo Shelvey,M,Newcastle
292,461.0,Matt Ritchie,D,Newcastle
293,875.0,Ciaran Clark,D,Newcastle
294,780.0,Karl Darlow,G,Newcastle
295,6532.0,Martin Dubravka,G,Newcastle
296,468.0,Callum Wilson,F,Newcastle
297,1746.0,Jeff Hendrick,M,Newcastle
298,1683.0,Ryan Fraser,M,Newcastle
299,766.0,Jamaal Lascelles,D,Newcastle
300,743.0,Dwight Gayle,F,Newcastle
301,853.0,Paul Dummett,D,Newcastle
302,1719.0,Javier Manquillo,D,Newcastle
303,1545.0,Emil Krafth,D,Newcastle
304,6063.0,Jacob Murphy,M,Newcastle
305,76.0,Fabian Schär,D,Newcastle
306,6062.0,Isaac Hayden,M,Newcastle
307,101.0,Allan Saint-Maximin,F,Newcastle
308,7420.0,Miguel Almirón,M,Newcastle
309,7078.0,Sean Longstaff,M,Newcastle
310,87.0,Joelinton Cássio Apolinário de Lira,F,Newcastle
311,7691.0,Jamal Lewis,D,Newcastle
312,,Matthew Longstaff,M,Newcastle
313,,Michael McGovern,G,Norwich
314,982.0,Tim Krul,G,Norwich
315,7696.0,Teemu Pukki,F,Norwich
316,,Marco Stiepermann,M,Norwich
317,62.0,Lukas Rupp,M,Norwich
318,7693.0,Kenny McLean,M,Norwich
319,7690.0,Grant Hanley,D,Norwich
320,,Onel Hernández,M,Norwich
321,902.0,Sam Byram,D,Norwich
322,,Jordan Hugill,F,Norwich
323,1032.0,Kieran Dowell,M,Norwich
324,7990.0,Christoph Zimmermann,D,Norwich
325,7695.0,Todd Cantwell,M,Norwich
326,7688.0,Max Aarons,D,Norwich
327,9748.0,Jacob Sørensen,D,Norwich
328,10097.0,Przemyslaw Placheta,M,Norwich
329,8021.0,Adam Idah,F,Norwich
330,,Josh Martin,M,Norwich
331,9833.0,Andrew Omobamidele,D,Norwich
332,503.0,Theo Walcott,M,Southampton
333,831.0,Fraser Forster,G,Southampton
334,635.0,Alex McCarthy,G,Southampton
335,842.0,Oriol Romeu Vidal,M,Southampton
